rank,name, interantional , movies , average 
298,Paula Weinstein,567703446.00,13.00,43669496.00
299,Jason Clark,566324862.00,5.00,113264972.00
300,Chris Thomas,564429585.00,1.00,564429585.00
301,Ori Marmur,562948842.00,5.00,112589768.00
302,Walter Hill,562928714.00,3.00,187642905.00
303,David Giler,562928714.00,3.00,187642905.00
304,Ivan Reitman,560987116.00,14.00,40070508.00
305,Danny Lerner,559982585.00,6.00,93330431.00
306,Michelle Rejwan,558938488.00,1.00,558938488.00
307,David Womark,557095278.00,2.00,278547639.00
308,Graham Walters,555900000.00,1.00,555900000.00
309,Alex Gartner,554254114.00,4.00,138563529.00
310,Jon Berg,552878885.00,9.00,61430987.00
311,Denise Di Novi,552237038.00,17.00,32484532.00
312,Toshio Suzuki,552053685.00,6.00,92008948.00
313,Debra Hayward,549936104.00,7.00,78562301.00
314,Christina Steinberg,549521388.00,4.00,137380347.00
315,Ryan Kavanaugh,549357449.00,18.00,30519858.00
316,Bobby Cohen,549118926.00,8.00,68639866.00
317,Jim Wilson,546883415.00,6.00,91147236.00
318,Erwin Stoff,542851442.00,11.00,49350131.00
319,Bob Gale,542848391.00,4.00,135712098.00
320,Neil Canton,542848391.00,4.00,135712098.00
321,Marcus Viscidi,542141361.00,3.00,180713787.00
322,Gary Levinsohn,537576942.00,5.00,107515388.00
323,Michael Shamberg,536467911.00,14.00,38319137.00
324,Marc Abraham,533905056.00,12.00,44492088.00
325,Moritz Borman,533378532.00,7.00,76196933.00
326,Scott Franklin,530522058.00,6.00,88420343.00
327,Alejandro Gonzalez Inarritu,527579566.00,4.00,131894892.00
328,Ang Lee,527023068.00,3.00,175674356.00
329,Virginie Besson-Silla,521807454.00,5.00,104361491.00
330,Wendy Finerman,520369322.00,5.00,104073864.00
331,Cale Boyter,519955623.00,4.00,129988906.00
332,Arnold W. Messer,519468963.00,5.00,103893793.00
333,Jim Morris,518419282.00,2.00,259209641.00
334,Teresa Cheng,517507886.00,1.00,517507886.00
335,Seth MacFarlane,517146237.00,4.00,129286559.00
336,Branko Lustig,517002542.00,3.00,172334181.00
337,Kori Rae,516500000.00,2.00,258250000.00
338,Adam Shankman,512505100.00,8.00,64063138.00
339,H. Galen Walker,499036302.00,5.00,99807260.00
340,Doug Mitchell,497326515.00,3.00,165775505.00
341,George Miller,497326515.00,4.00,124331629.00
342,David Lipman,494558583.00,1.00,494558583.00
343,Tom Hanks,488354057.00,15.00,32556937.00
344,Iain Canning,487659259.00,18.00,27092181.00
